Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,9000,12300,28,"35,5",1,2020
SANBABILA,Abitazioni civili,OTTIMO,9000,12300,28,"35,5",1,2020
MONTENAPOLEONE,Abitazioni civili,OTTIMO,9000,12300,28,"35,5",1,2020
MISSORI,Abitazioni civili,OTTIMO,9000,12300,28,"35,5",1,2020
CAIROLI,Abitazioni civili,OTTIMO,9000,12300,28,"35,5",1,2020
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7400,8900,23,28,1,2020
SANBABILA,Abitazioni civili,NORMALE,7400,8900,23,28,1,2020
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8900,23,28,1,2020
MISSORI,Abitazioni civili,NORMALE,7400,8900,23,28,1,2020
CAIROLI,Abitazioni civili,NORMALE,7400,8900,23,28,1,2020
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7500,8900,24,30,1,2020
SANBABILA,Abitazioni di tipo economico,OTTIMO,7500,8900,24,30,1,2020
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7500,8900,24,30,1,2020
MISSORI,Abitazioni di tipo economico,OTTIMO,7500,8900,24,30,1,2020
CAIROLI,Abitazioni di tipo economico,OTTIMO,7500,8900,24,30,1,2020
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6500,7400,18,22,1,2020
SANBABILA,Abitazioni di tipo economico,NORMALE,6500,7400,18,22,1,2020
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6500,7400,18,22,1,2020
MISSORI,Abitazioni di tipo economico,NORMALE,6500,7400,18,22,1,2020
CAIROLI,Abitazioni di tipo economico,NORMALE,6500,7400,18,22,1,2020
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11000,14300,"35,5",46,1,2020
SANBABILA,Abitazioni signorili,OTTIMO,11000,14300,"35,5",46,1,2020
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11000,14300,"35,5",46,1,2020
MISSORI,Abitazioni signorili,OTTIMO,11000,14300,"35,5",46,1,2020
CAIROLI,Abitazioni signorili,OTTIMO,11000,14300,"35,5",46,1,2020
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,"14,5","21,5",1,2020
SANBABILA,Box,NORMALE,4700,6600,"14,5","21,5",1,2020
MONTENAPOLEONE,Box,NORMALE,4700,6600,"14,5","21,5",1,2020
MISSORI,Box,NORMALE,4700,6600,"14,5","21,5",1,2020
CAIROLI,Box,NORMALE,4700,6600,"14,5","21,5",1,2020
