Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CADORNA,Abitazioni civili,OTTIMO,5700,7800,"15,2",21,1,2013
MONTI,Abitazioni civili,OTTIMO,5700,7800,"15,2",21,1,2013
BOCCACCIO ,Abitazioni civili,OTTIMO,5700,7800,"15,2",21,1,2013
CADORNA,Abitazioni civili,NORMALE,4200,5700,"13,5",15,1,2013
MONTI,Abitazioni civili,NORMALE,4200,5700,"13,5",15,1,2013
BOCCACCIO ,Abitazioni civili,NORMALE,4200,5700,"13,5",15,1,2013
CADORNA,Abitazioni civili,SCADENTE,3700,4100,10,13,1,2013
MONTI,Abitazioni civili,SCADENTE,3700,4100,10,13,1,2013
BOCCACCIO ,Abitazioni civili,SCADENTE,3700,4100,10,13,1,2013
CADORNA,Abitazioni di tipo economico,OTTIMO,5200,6600,"15,5",21,1,2013
MONTI,Abitazioni di tipo economico,OTTIMO,5200,6600,"15,5",21,1,2013
BOCCACCIO ,Abitazioni di tipo economico,OTTIMO,5200,6600,"15,5",21,1,2013
CADORNA,Abitazioni di tipo economico,NORMALE,4000,5200,12,17,1,2013
MONTI,Abitazioni di tipo economico,NORMALE,4000,5200,12,17,1,2013
BOCCACCIO ,Abitazioni di tipo economico,NORMALE,4000,5200,12,17,1,2013
CADORNA,Abitazioni di tipo economico,SCADENTE,3400,3900,11,"14,5",1,2013
MONTI,Abitazioni di tipo economico,SCADENTE,3400,3900,11,"14,5",1,2013
BOCCACCIO ,Abitazioni di tipo economico,SCADENTE,3400,3900,11,"14,5",1,2013
CADORNA,Box,NORMALE,3000,3900,14,18,1,2013
MONTI,Box,NORMALE,3000,3900,14,18,1,2013
BOCCACCIO ,Box,NORMALE,3000,3900,14,18,1,2013
CADORNA,Ville e Villini,SCADENTE,4000,5000,"12,5","15,5",1,2013
MONTI,Ville e Villini,SCADENTE,4000,5000,"12,5","15,5",1,2013
BOCCACCIO ,Ville e Villini,SCADENTE,4000,5000,"12,5","15,5",1,2013
CADORNA,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2013
MONTI,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2013
BOCCACCIO ,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2013
CADORNA,Ville e Villini,NORMALE,4500,6000,"15,5","17,5",1,2013
MONTI,Ville e Villini,NORMALE,4500,6000,"15,5","17,5",1,2013
BOCCACCIO ,Ville e Villini,NORMALE,4500,6000,"15,5","17,5",1,2013
CADORNA,Magazzini,NORMALE,1000,1200,"4,8","6,6",1,2013
MONTI,Magazzini,NORMALE,1000,1200,"4,8","6,6",1,2013
BOCCACCIO ,Magazzini,NORMALE,1000,1200,"4,8","6,6",1,2013
CADORNA,Negozi,NORMALE,4000,5300,"16,5","23,8",1,2013
MONTI,Negozi,NORMALE,4000,5300,"16,5","23,8",1,2013
BOCCACCIO ,Negozi,NORMALE,4000,5300,"16,5","23,8",1,2013
CADORNA,Uffici,OTTIMO,3500,4500,17,21,1,2013
MONTI,Uffici,OTTIMO,3500,4500,17,21,1,2013
BOCCACCIO ,Uffici,OTTIMO,3500,4500,17,21,1,2013
CADORNA,Uffici strutturati,OTTIMO,4000,5000,18,"23,8",1,2013
MONTI,Uffici strutturati,OTTIMO,4000,5000,18,"23,8",1,2013
