Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,8900,11800,"29,2","35,2",1,2016
SANBABILA,Abitazioni civili,OTTIMO,8900,11800,"29,2","35,2",1,2016
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11800,"29,2","35,2",1,2016
MISSORI,Abitazioni civili,OTTIMO,8900,11800,"29,2","35,2",1,2016
CAIROLI,Abitazioni civili,OTTIMO,8900,11800,"29,2","35,2",1,2016
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7300,8900,"22,7",29,1,2016
SANBABILA,Abitazioni civili,NORMALE,7300,8900,"22,7",29,1,2016
MONTENAPOLEONE,Abitazioni civili,NORMALE,7300,8900,"22,7",29,1,2016
MISSORI,Abitazioni civili,NORMALE,7300,8900,"22,7",29,1,2016
CAIROLI,Abitazioni civili,NORMALE,7300,8900,"22,7",29,1,2016
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,1,2016
SANBABILA,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,1,2016
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,1,2016
MISSORI,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,1,2016
CAIROLI,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,1,2016
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7600,"17,8",21,1,2016
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7600,"17,8",21,1,2016
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7600,"17,8",21,1,2016
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7600,"17,8",21,1,2016
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7600,"17,8",21,1,2016
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11700,13700,39,45,1,2016
SANBABILA,Abitazioni signorili,OTTIMO,11700,13700,39,45,1,2016
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11700,13700,39,45,1,2016
MISSORI,Abitazioni signorili,OTTIMO,11700,13700,39,45,1,2016
CAIROLI,Abitazioni signorili,OTTIMO,11700,13700,39,45,1,2016
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,14,"20,2",1,2016
SANBABILA,Box,NORMALE,4700,6600,14,"20,2",1,2016
MONTENAPOLEONE,Box,NORMALE,4700,6600,14,"20,2",1,2016
MISSORI,Box,NORMALE,4700,6600,14,"20,2",1,2016
CAIROLI,Box,NORMALE,4700,6600,14,"20,2",1,2016
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2550,3300,14,18,1,2016
SANBABILA,Magazzini,NORMALE,2550,3300,14,18,1,2016
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14,18,1,2016
MISSORI,Magazzini,NORMALE,2550,3300,14,18,1,2016
CAIROLI,Magazzini,NORMALE,2550,3300,14,18,1,2016
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14900,21200,79,120,1,2016
SANBABILA,Negozi,OTTIMO,14900,21200,79,120,1,2016
MONTENAPOLEONE,Negozi,OTTIMO,14900,21200,79,120,1,2016
MISSORI,Negozi,OTTIMO,14900,21200,79,120,1,2016
CAIROLI,Negozi,OTTIMO,14900,21200,79,120,1,2016
CENTRO STORICO -DUOMO,Negozi,NORMALE,9400,12600,"41,8","58,2",1,2016
SANBABILA,Negozi,NORMALE,9400,12600,"41,8","58,2",1,2016
MONTENAPOLEONE,Negozi,NORMALE,9400,12600,"41,8","58,2",1,2016
MISSORI,Negozi,NORMALE,9400,12600,"41,8","58,2",1,2016
CAIROLI,Negozi,NORMALE,9400,12600,"41,8","58,2",1,2016
CENTRO STORICO -DUOMO,Uffici,OTTIMO,6500,8200,"25,5","35,3",1,2016
SANBABILA,Uffici,OTTIMO,6500,8200,"25,5","35,3",1,2016
MONTENAPOLEONE,Uffici,OTTIMO,6500,8200,"25,5","35,3",1,2016
MISSORI,Uffici,OTTIMO,6500,8200,"25,5","35,3",1,2016
CAIROLI,Uffici,OTTIMO,6500,8200,"25,5","35,3",1,2016
CENTRO STORICO -DUOMO,Uffici strutturati,OTTIMO,6700,9100,29,40,1,2016
SANBABILA,Uffici strutturati,OTTIMO,6700,9100,29,40,1,2016
MONTENAPOLEONE,Uffici strutturati,OTTIMO,6700,9100,29,40,1,2016
MISSORI,Uffici strutturati,OTTIMO,6700,9100,29,40,1,2016
CAIROLI,Uffici strutturati,OTTIMO,6700,9100,29,40,1,2016
CENTRO STORICO -DUOMO,Laboratori,NORMALE,2700,3300,15,"20,5",1,2016
SANBABILA,Laboratori,NORMALE,2700,3300,15,"20,5",1,2016
MONTENAPOLEONE,Laboratori,NORMALE,2700,3300,15,"20,5",1,2016
MISSORI,Laboratori,NORMALE,2700,3300,15,"20,5",1,2016
CAIROLI,Laboratori,NORMALE,2700,3300,15,"20,5",1,2016
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,8900,11800,"28,9",35,2,2016
SANBABILA,Abitazioni civili,OTTIMO,8900,11800,"28,9",35,2,2016
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11800,"28,9",35,2,2016
MISSORI,Abitazioni civili,OTTIMO,8900,11800,"28,9",35,2,2016
CAIROLI,Abitazioni civili,OTTIMO,8900,11800,"28,9",35,2,2016
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7400,8900,23,"28,9",2,2016
SANBABILA,Abitazioni civili,NORMALE,7400,8900,23,"28,9",2,2016
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8900,23,"28,9",2,2016
MISSORI,Abitazioni civili,NORMALE,7400,8900,23,"28,9",2,2016
CAIROLI,Abitazioni civili,NORMALE,7400,8900,23,"28,9",2,2016
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7600,18,22,2,2016
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7600,18,22,2,2016
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7600,18,22,2,2016
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7600,18,22,2,2016
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7600,18,22,2,2016
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,2,2016
SANBABILA,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,2,2016
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,2,2016
MISSORI,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,2,2016
CAIROLI,Abitazioni di tipo economico,OTTIMO,7700,8800,22,30,2,2016
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11700,13600,39,45,2,2016
SANBABILA,Abitazioni signorili,OTTIMO,11700,13600,39,45,2,2016
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11700,13600,39,45,2,2016
MISSORI,Abitazioni signorili,OTTIMO,11700,13600,39,45,2,2016
CAIROLI,Abitazioni signorili,OTTIMO,11700,13600,39,45,2,2016
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,14,"20,2",2,2016
SANBABILA,Box,NORMALE,4700,6600,14,"20,2",2,2016
MONTENAPOLEONE,Box,NORMALE,4700,6600,14,"20,2",2,2016
MISSORI,Box,NORMALE,4700,6600,14,"20,2",2,2016
CAIROLI,Box,NORMALE,4700,6600,14,"20,2",2,2016
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2550,3300,14,18,2,2016
SANBABILA,Magazzini,NORMALE,2550,3300,14,18,2,2016
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14,18,2,2016
MISSORI,Magazzini,NORMALE,2550,3300,14,18,2,2016
CAIROLI,Magazzini,NORMALE,2550,3300,14,18,2,2016
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14900,21200,80,119,2,2016
SANBABILA,Negozi,OTTIMO,14900,21200,80,119,2,2016
MONTENAPOLEONE,Negozi,OTTIMO,14900,21200,80,119,2,2016
MISSORI,Negozi,OTTIMO,14900,21200,80,119,2,2016
CAIROLI,Negozi,OTTIMO,14900,21200,80,119,2,2016
CENTRO STORICO -DUOMO,Negozi,NORMALE,9400,12600,42,58,2,2016
SANBABILA,Negozi,NORMALE,9400,12600,42,58,2,2016
MONTENAPOLEONE,Negozi,NORMALE,9400,12600,42,58,2,2016
MISSORI,Negozi,NORMALE,9400,12600,42,58,2,2016
CAIROLI,Negozi,NORMALE,9400,12600,42,58,2,2016
CENTRO STORICO -DUOMO,Uffici,OTTIMO,6400,8300,25,"34,8",2,2016
SANBABILA,Uffici,OTTIMO,6400,8300,25,"34,8",2,2016
MONTENAPOLEONE,Uffici,OTTIMO,6400,8300,25,"34,8",2,2016
MISSORI,Uffici,OTTIMO,6400,8300,25,"34,8",2,2016
CAIROLI,Uffici,OTTIMO,6400,8300,25,"34,8",2,2016
CENTRO STORICO -DUOMO,Uffici strutturati,OTTIMO,6700,9000,29,40,2,2016
SANBABILA,Uffici strutturati,OTTIMO,6700,9000,29,40,2,2016
MONTENAPOLEONE,Uffici strutturati,OTTIMO,6700,9000,29,40,2,2016
MISSORI,Uffici strutturati,OTTIMO,6700,9000,29,40,2,2016
CAIROLI,Uffici strutturati,OTTIMO,6700,9000,29,40,2,2016
CENTRO STORICO -DUOMO,Laboratori,NORMALE,2700,3300,15,"20,5",2,2016
SANBABILA,Laboratori,NORMALE,2700,3300,15,"20,5",2,2016
MONTENAPOLEONE,Laboratori,NORMALE,2700,3300,15,"20,5",2,2016
MISSORI,Laboratori,NORMALE,2700,3300,15,"20,5",2,2016
CAIROLI,Laboratori,NORMALE,2700,3300,15,"20,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6800,7800,"18,2","24,8",1,2016
SAN LORENZO,Abitazioni civili,OTTIMO,6800,7800,"18,2","24,8",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,NORMALE,4800,6400,"15,5","17,5",1,2016
SAN LORENZO,Abitazioni civili,NORMALE,4800,6400,"15,5","17,5",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,5000,13,16,1,2016
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,5000,13,16,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5300,6400,17,19,1,2016
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5300,6400,17,19,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,8000,9100,"22,5","26,5",1,2016
SAN LORENZO,Abitazioni signorili,OTTIMO,8000,9100,"22,5","26,5",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Box,NORMALE,3300,4500,11,15,1,2016
SAN LORENZO,Box,NORMALE,3300,4500,11,15,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Magazzini,NORMALE,1700,2300,10,13,1,2016
SAN LORENZO,Magazzini,NORMALE,1700,2300,10,13,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Negozi,OTTIMO,5300,7400,28,"37,5",1,2016
SAN LORENZO,Negozi,OTTIMO,5300,7400,28,"37,5",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Negozi,NORMALE,3600,5200,"19,2","27,8",1,2016
SAN LORENZO,Negozi,NORMALE,3600,5200,"19,2","27,8",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Uffici,OTTIMO,4500,5000,"19,5","24,8",1,2016
