Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
SAN LORENZO,Uffici,OTTIMO,4500,5000,"19,5","24,8",1,2016
CENTRO STORICO -UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4600,5800,20,28,1,2016
SAN LORENZO,Uffici strutturati,OTTIMO,4600,5800,20,28,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Laboratori,NORMALE,2200,2600,12,15,1,2016
SAN LORENZO,Laboratori,NORMALE,2200,2600,12,15,1,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6700,7800,18,"24,6",2,2016
SAN LORENZO,Abitazioni civili,OTTIMO,6700,7800,18,"24,6",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,NORMALE,4900,6500,"15,5","17,5",2,2016
SAN LORENZO,Abitazioni civili,NORMALE,4900,6500,"15,5","17,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,4900,13,"15,5",2,2016
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,4900,13,"15,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5200,6400,16,"18,5",2,2016
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5200,6400,16,"18,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,7900,9100,"22,5","26,5",2,2016
SAN LORENZO,Abitazioni signorili,OTTIMO,7900,9100,"22,5","26,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Box,NORMALE,3300,4500,11,15,2,2016
SAN LORENZO,Box,NORMALE,3300,4500,11,15,2,2016
CENTRO STORICO -UNIVERSITA STATALE,Magazzini,NORMALE,1700,2300,10,13,2,2016
SAN LORENZO,Magazzini,NORMALE,1700,2300,10,13,2,2016
CENTRO STORICO -UNIVERSITA STATALE,Negozi,OTTIMO,5200,7300,"27,7","37,5",2,2016
SAN LORENZO,Negozi,OTTIMO,5200,7300,"27,7","37,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Negozi,NORMALE,3600,5200,"19,2","27,5",2,2016
SAN LORENZO,Negozi,NORMALE,3600,5200,"19,2","27,5",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Uffici,OTTIMO,4500,5100,"19,5","24,8",2,2016
SAN LORENZO,Uffici,OTTIMO,4500,5100,"19,5","24,8",2,2016
CENTRO STORICO -UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4600,5800,20,28,2,2016
SAN LORENZO,Uffici strutturati,OTTIMO,4600,5800,20,28,2,2016
CENTRO STORICO -UNIVERSITA STATALE,Laboratori,NORMALE,2200,2600,12,15,2,2016
SAN LORENZO,Laboratori,NORMALE,2200,2600,12,15,2,2016
CENTRO STORICO - BRERA,Abitazioni civili,OTTIMO,7900,9800,"22,2","28,2",1,2016
CENTRO STORICO - BRERA,Abitazioni civili,NORMALE,6300,7900,"18,5","21,5",1,2016
CENTRO STORICO - BRERA,Abitazioni di tipo economico,NORMALE,6000,6500,17,21,1,2016
CENTRO STORICO - BRERA,Abitazioni di tipo economico,OTTIMO,6700,7900,"20,5","24,5",1,2016
CENTRO STORICO - BRERA,Abitazioni signorili,OTTIMO,9800,11700,32,"37,5",1,2016
CENTRO STORICO - BRERA,Box,NORMALE,3900,5000,12,15,1,2016
CENTRO STORICO - BRERA,Magazzini,NORMALE,1400,2000,7,"10,5",1,2016
CENTRO STORICO - BRERA,Negozi,OTTIMO,6400,8300,29,42,1,2016
CENTRO STORICO - BRERA,Negozi,NORMALE,4500,6300,"21,5",29,1,2016
CENTRO STORICO - BRERA,Uffici,OTTIMO,3800,4400,16,21,1,2016
CENTRO STORICO - BRERA,Uffici strutturati,OTTIMO,4400,5300,21,23,1,2016
CENTRO STORICO - BRERA,Laboratori,NORMALE,2500,3000,12,15,1,2016
CENTRO STORICO - BRERA,Abitazioni civili,OTTIMO,7800,9700,"22,5","27,8",2,2016
CENTRO STORICO - BRERA,Abitazioni civili,NORMALE,6300,7800,"18,5","21,5",2,2016
CENTRO STORICO - BRERA,Abitazioni di tipo economico,NORMALE,6000,6400,17,21,2,2016
CENTRO STORICO - BRERA,Abitazioni di tipo economico,OTTIMO,6600,7800,"20,5","24,5",2,2016
CENTRO STORICO - BRERA,Abitazioni signorili,OTTIMO,9800,11600,32,"37,5",2,2016
CENTRO STORICO - BRERA,Box,NORMALE,3900,5000,12,15,2,2016
CENTRO STORICO - BRERA,Magazzini,NORMALE,1400,2000,7,"10,5",2,2016
CENTRO STORICO - BRERA,Negozi,OTTIMO,6400,8300,"29,5",42,2,2016
CENTRO STORICO - BRERA,Negozi,NORMALE,4600,6300,"21,8","29,5",2,2016
CENTRO STORICO - BRERA,Uffici,OTTIMO,3900,4500,"16,5","21,5",2,2016
CENTRO STORICO - BRERA,Uffici strutturati,OTTIMO,4400,5300,"21,5",23,2,2016
CENTRO STORICO - BRERA,Laboratori,NORMALE,2500,3000,11,14,2,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,OTTIMO,7400,8900,"22,3","24,8",1,2016
CADORNA,Abitazioni civili,OTTIMO,7400,8900,"22,3","24,8",1,2016
VIA DANTE,Abitazioni civili,OTTIMO,7400,8900,"22,3","24,8",1,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,NORMALE,6300,7300,"19,5","22,3",1,2016
CADORNA,Abitazioni civili,NORMALE,6300,7300,"19,5","22,3",1,2016
VIA DANTE,Abitazioni civili,NORMALE,6300,7300,"19,5","22,3",1,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5600,6400,16,"18,5",1,2016
CADORNA,Abitazioni di tipo economico,NORMALE,5600,6400,16,"18,5",1,2016
VIA DANTE,Abitazioni di tipo economico,NORMALE,5600,6400,16,"18,5",1,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6400,7500,19,"22,5",1,2016
CADORNA,Abitazioni di tipo economico,OTTIMO,6400,7500,19,"22,5",1,2016
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6400,7500,19,"22,5",1,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni signorili,OTTIMO,9000,10500,25,35,1,2016
CADORNA,Abitazioni signorili,OTTIMO,9000,10500,25,35,1,2016
VIA DANTE,Abitazioni signorili,OTTIMO,9000,10500,25,35,1,2016
CENTRO STORICO -SANT`AMBROGIO,Box,NORMALE,3900,5000,"12,5","16,5",1,2016
CADORNA,Box,NORMALE,3900,5000,"12,5","16,5",1,2016
VIA DANTE,Box,NORMALE,3900,5000,"12,5","16,5",1,2016
CENTRO STORICO -SANT`AMBROGIO,Magazzini,NORMALE,1500,2100,10,13,1,2016
CADORNA,Magazzini,NORMALE,1500,2100,10,13,1,2016
VIA DANTE,Magazzini,NORMALE,1500,2100,10,13,1,2016
CENTRO STORICO -SANT`AMBROGIO,Negozi,OTTIMO,5400,7900,"27,5",39,1,2016
CADORNA,Negozi,OTTIMO,5400,7900,"27,5",39,1,2016
VIA DANTE,Negozi,OTTIMO,5400,7900,"27,5",39,1,2016
CENTRO STORICO -SANT`AMBROGIO,Negozi,NORMALE,4200,5300,"19,2","27,2",1,2016
CADORNA,Negozi,NORMALE,4200,5300,"19,2","27,2",1,2016
VIA DANTE,Negozi,NORMALE,4200,5300,"19,2","27,2",1,2016
CENTRO STORICO -SANT`AMBROGIO,Uffici,OTTIMO,3800,4500,"15,8","20,2",1,2016
CADORNA,Uffici,OTTIMO,3800,4500,"15,8","20,2",1,2016
VIA DANTE,Uffici,OTTIMO,3800,4500,"15,8","20,2",1,2016
CENTRO STORICO -SANT`AMBROGIO,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",1,2016
CADORNA,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",1,2016
VIA DANTE,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",1,2016
CENTRO STORICO -SANT`AMBROGIO,Laboratori,NORMALE,2400,3000,12,15,1,2016
CADORNA,Laboratori,NORMALE,2400,3000,12,15,1,2016
VIA DANTE,Laboratori,NORMALE,2400,3000,12,15,1,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,OTTIMO,7300,8800,"22,1","24,6",2,2016
CADORNA,Abitazioni civili,OTTIMO,7300,8800,"22,1","24,6",2,2016
VIA DANTE,Abitazioni civili,OTTIMO,7300,8800,"22,1","24,6",2,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,NORMALE,6300,7300,"19,3","22,1",2,2016
CADORNA,Abitazioni civili,NORMALE,6300,7300,"19,3","22,1",2,2016
VIA DANTE,Abitazioni civili,NORMALE,6300,7300,"19,3","22,1",2,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5500,6300,16,"18,5",2,2016
CADORNA,Abitazioni di tipo economico,NORMALE,5500,6300,16,"18,5",2,2016
VIA DANTE,Abitazioni di tipo economico,NORMALE,5500,6300,16,"18,5",2,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6300,7400,"18,8","22,1",2,2016
CADORNA,Abitazioni di tipo economico,OTTIMO,6300,7400,"18,8","22,1",2,2016
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6300,7400,"18,8","22,1",2,2016
CENTRO STORICO -SANT`AMBROGIO,Abitazioni signorili,OTTIMO,8900,10400,"24,8","34,8",2,2016
CADORNA,Abitazioni signorili,OTTIMO,8900,10400,"24,8","34,8",2,2016
VIA DANTE,Abitazioni signorili,OTTIMO,8900,10400,"24,8","34,8",2,2016
CENTRO STORICO -SANT`AMBROGIO,Box,NORMALE,3800,5100,"12,5","16,5",2,2016
CADORNA,Box,NORMALE,3800,5100,"12,5","16,5",2,2016
VIA DANTE,Box,NORMALE,3800,5100,"12,5","16,5",2,2016
CENTRO STORICO -SANT`AMBROGIO,Magazzini,NORMALE,1500,2100,10,13,2,2016
CADORNA,Magazzini,NORMALE,1500,2100,10,13,2,2016
VIA DANTE,Magazzini,NORMALE,1500,2100,10,13,2,2016
CENTRO STORICO -SANT`AMBROGIO,Negozi,OTTIMO,5400,7800,"27,5",39,2,2016
CADORNA,Negozi,OTTIMO,5400,7800,"27,5",39,2,2016
VIA DANTE,Negozi,OTTIMO,5400,7800,"27,5",39,2,2016
CENTRO STORICO -SANT`AMBROGIO,Negozi,NORMALE,4300,5400,19,"27,5",2,2016
CADORNA,Negozi,NORMALE,4300,5400,19,"27,5",2,2016
VIA DANTE,Negozi,NORMALE,4300,5400,19,"27,5",2,2016
CENTRO STORICO -SANT`AMBROGIO,Uffici,OTTIMO,3900,4600,"15,7","20,5",2,2016
CADORNA,Uffici,OTTIMO,3900,4600,"15,7","20,5",2,2016
VIA DANTE,Uffici,OTTIMO,3900,4600,"15,7","20,5",2,2016
CENTRO STORICO -SANT`AMBROGIO,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",2,2016
CADORNA,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",2,2016
VIA DANTE,Uffici strutturati,OTTIMO,4600,5500,20,"23,5",2,2016
CENTRO STORICO -SANT`AMBROGIO,Laboratori,NORMALE,2400,3000,12,15,2,2016
CADORNA,Laboratori,NORMALE,2400,3000,12,15,2,2016
VIA DANTE,Laboratori,NORMALE,2400,3000,12,15,2,2016
PARCO SEMPIONE,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",1,2016
ARCO DELLA PACE,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",1,2016
CORSO MAGENTA,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",1,2016
PARCO SEMPIONE,Abitazioni civili,OTTIMO,5500,7600,"17,6","23,7",1,2016
ARCO DELLA PACE,Abitazioni civili,OTTIMO,5500,7600,"17,6","23,7",1,2016
CORSO MAGENTA,Abitazioni civili,OTTIMO,5500,7600,"17,6","23,7",1,2016
PARCO SEMPIONE,Abitazioni di tipo economico,OTTIMO,3700,5000,"12,5",17,1,2016
ARCO DELLA PACE,Abitazioni di tipo economico,OTTIMO,3700,5000,"12,5",17,1,2016
CORSO MAGENTA,Abitazioni di tipo economico,OTTIMO,3700,5000,"12,5",17,1,2016
PARCO SEMPIONE,Abitazioni di tipo economico,NORMALE,2950,3800,11,"12,5",1,2016
ARCO DELLA PACE,Abitazioni di tipo economico,NORMALE,2950,3800,11,"12,5",1,2016
CORSO MAGENTA,Abitazioni di tipo economico,NORMALE,2950,3800,11,"12,5",1,2016
PARCO SEMPIONE,Abitazioni signorili,OTTIMO,7800,10800,"25,8","27,8",1,2016
ARCO DELLA PACE,Abitazioni signorili,OTTIMO,7800,10800,"25,8","27,8",1,2016
CORSO MAGENTA,Abitazioni signorili,OTTIMO,7800,10800,"25,8","27,8",1,2016
PARCO SEMPIONE,Box,NORMALE,2400,3300,9,"12,8",1,2016
ARCO DELLA PACE,Box,NORMALE,2400,3300,9,"12,8",1,2016
CORSO MAGENTA,Box,NORMALE,2400,3300,9,"12,8",1,2016
PARCO SEMPIONE,Magazzini,NORMALE,900,1200,"4,8","6,6",1,2016
ARCO DELLA PACE,Magazzini,NORMALE,900,1200,"4,8","6,6",1,2016
CORSO MAGENTA,Magazzini,NORMALE,900,1200,"4,8","6,6",1,2016
PARCO SEMPIONE,Negozi,NORMALE,3500,4800,15,"21,8",1,2016
ARCO DELLA PACE,Negozi,NORMALE,3500,4800,15,"21,8",1,2016
CORSO MAGENTA,Negozi,NORMALE,3500,4800,15,"21,8",1,2016
PARCO SEMPIONE,Uffici,OTTIMO,3500,4600,15,"18,3",1,2016
ARCO DELLA PACE,Uffici,OTTIMO,3500,4600,15,"18,3",1,2016
CORSO MAGENTA,Uffici,OTTIMO,3500,4600,15,"18,3",1,2016
PARCO SEMPIONE,Uffici strutturati,OTTIMO,3900,5000,"18,5","25,5",1,2016
ARCO DELLA PACE,Uffici strutturati,OTTIMO,3900,5000,"18,5","25,5",1,2016
CORSO MAGENTA,Uffici strutturati,OTTIMO,3900,5000,"18,5","25,5",1,2016
PARCO SEMPIONE,Laboratori,NORMALE,1500,1800,8,"9,8",1,2016
ARCO DELLA PACE,Laboratori,NORMALE,1500,1800,8,"9,8",1,2016
CORSO MAGENTA,Laboratori,NORMALE,1500,1800,8,"9,8",1,2016
PARCO SEMPIONE,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",2,2016
ARCO DELLA PACE,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",2,2016
CORSO MAGENTA,Abitazioni civili,NORMALE,4000,5500,"12,9","16,2",2,2016
PARCO SEMPIONE,Abitazioni civili,OTTIMO,5600,7600,"17,4","23,5",2,2016
ARCO DELLA PACE,Abitazioni civili,OTTIMO,5600,7600,"17,4","23,5",2,2016
CORSO MAGENTA,Abitazioni civili,OTTIMO,5600,7600,"17,4","23,5",2,2016
PARCO SEMPIONE,Abitazioni di tipo economico,OTTIMO,3800,5000,"12,3","16,8",2,2016
ARCO DELLA PACE,Abitazioni di tipo economico,OTTIMO,3800,5000,"12,3","16,8",2,2016
CORSO MAGENTA,Abitazioni di tipo economico,OTTIMO,3800,5000,"12,3","16,8",2,2016
PARCO SEMPIONE,Abitazioni di tipo economico,NORMALE,2950,3800,10,"12,3",2,2016
ARCO DELLA PACE,Abitazioni di tipo economico,NORMALE,2950,3800,10,"12,3",2,2016
CORSO MAGENTA,Abitazioni di tipo economico,NORMALE,2950,3800,10,"12,3",2,2016
PARCO SEMPIONE,Abitazioni signorili,OTTIMO,7900,10800,"25,6","27,6",2,2016
ARCO DELLA PACE,Abitazioni signorili,OTTIMO,7900,10800,"25,6","27,6",2,2016
CORSO MAGENTA,Abitazioni signorili,OTTIMO,7900,10800,"25,6","27,6",2,2016
PARCO SEMPIONE,Box,NORMALE,2400,3400,9,"12,8",2,2016
ARCO DELLA PACE,Box,NORMALE,2400,3400,9,"12,8",2,2016
CORSO MAGENTA,Box,NORMALE,2400,3400,9,"12,8",2,2016
PARCO SEMPIONE,Magazzini,NORMALE,900,1100,"4,8","6,2",2,2016
