Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
PARCO SEMPIONE,Abitazioni civili,NORMALE,4100,5400,14,18,1,2014
ARCO DELLA PACE,Abitazioni civili,NORMALE,4100,5400,14,18,1,2014
CORSO MAGENTA,Abitazioni civili,NORMALE,4100,5400,14,18,1,2014
PARCO SEMPIONE,Abitazioni civili,OTTIMO,5400,7800,18,"25,2",1,2014
ARCO DELLA PACE,Abitazioni civili,OTTIMO,5400,7800,18,"25,2",1,2014
CORSO MAGENTA,Abitazioni civili,OTTIMO,5400,7800,18,"25,2",1,2014
PARCO SEMPIONE,Abitazioni di tipo economico,OTTIMO,3800,5100,13,"17,5",1,2014
ARCO DELLA PACE,Abitazioni di tipo economico,OTTIMO,3800,5100,13,"17,5",1,2014
CORSO MAGENTA,Abitazioni di tipo economico,OTTIMO,3800,5100,13,"17,5",1,2014
PARCO SEMPIONE,Abitazioni di tipo economico,NORMALE,3000,3800,11,13,1,2014
ARCO DELLA PACE,Abitazioni di tipo economico,NORMALE,3000,3800,11,13,1,2014
CORSO MAGENTA,Abitazioni di tipo economico,NORMALE,3000,3800,11,13,1,2014
PARCO SEMPIONE,Abitazioni signorili,OTTIMO,8000,11500,25,30,1,2014
ARCO DELLA PACE,Abitazioni signorili,OTTIMO,8000,11500,25,30,1,2014
CORSO MAGENTA,Abitazioni signorili,OTTIMO,8000,11500,25,30,1,2014
PARCO SEMPIONE,Box,NORMALE,2500,3600,9,13,1,2014
ARCO DELLA PACE,Box,NORMALE,2500,3600,9,13,1,2014
CORSO MAGENTA,Box,NORMALE,2500,3600,9,13,1,2014
PARCO SEMPIONE,Magazzini,NORMALE,900,1100,"4,8","6,6",1,2014
ARCO DELLA PACE,Magazzini,NORMALE,900,1100,"4,8","6,6",1,2014
CORSO MAGENTA,Magazzini,NORMALE,900,1100,"4,8","6,6",1,2014
PARCO SEMPIONE,Negozi,NORMALE,3500,4800,"14,2",21,1,2014
ARCO DELLA PACE,Negozi,NORMALE,3500,4800,"14,2",21,1,2014
CORSO MAGENTA,Negozi,NORMALE,3500,4800,"14,2",21,1,2014
PARCO SEMPIONE,Uffici,OTTIMO,3400,4400,"14,5","18,2",1,2014
ARCO DELLA PACE,Uffici,OTTIMO,3400,4400,"14,5","18,2",1,2014
CORSO MAGENTA,Uffici,OTTIMO,3400,4400,"14,5","18,2",1,2014
PARCO SEMPIONE,Uffici strutturati,OTTIMO,3800,5000,"18,5","25,5",1,2014
ARCO DELLA PACE,Uffici strutturati,OTTIMO,3800,5000,"18,5","25,5",1,2014
CORSO MAGENTA,Uffici strutturati,OTTIMO,3800,5000,"18,5","25,5",1,2014
PARCO SEMPIONE,Laboratori,NORMALE,1500,1800,8,"9,8",1,2014
ARCO DELLA PACE,Laboratori,NORMALE,1500,1800,8,"9,8",1,2014
CORSO MAGENTA,Laboratori,NORMALE,1500,1800,8,"9,8",1,2014
TURATI,Abitazioni civili,OTTIMO,5900,8300,20,27,1,2014
MOSCOVA,Abitazioni civili,OTTIMO,5900,8300,20,27,1,2014
CORSO VENEZIA,Abitazioni civili,OTTIMO,5900,8300,20,27,1,2014
TURATI,Abitazioni civili,NORMALE,4300,5900,16,20,1,2014
MOSCOVA,Abitazioni civili,NORMALE,4300,5900,16,20,1,2014
CORSO VENEZIA,Abitazioni civili,NORMALE,4300,5900,16,20,1,2014
TURATI,Abitazioni di tipo economico,NORMALE,3400,4200,"12,5","16,5",1,2014
MOSCOVA,Abitazioni di tipo economico,NORMALE,3400,4200,"12,5","16,5",1,2014
CORSO VENEZIA,Abitazioni di tipo economico,NORMALE,3400,4200,"12,5","16,5",1,2014
TURATI,Abitazioni di tipo economico,OTTIMO,4200,5400,"16,5",20,1,2014
MOSCOVA,Abitazioni di tipo economico,OTTIMO,4200,5400,"16,5",20,1,2014
CORSO VENEZIA,Abitazioni di tipo economico,OTTIMO,4200,5400,"16,5",20,1,2014
TURATI,Box,NORMALE,2600,3700,"8,5","12,5",1,2014
MOSCOVA,Box,NORMALE,2600,3700,"8,5","12,5",1,2014
CORSO VENEZIA,Box,NORMALE,2600,3700,"8,5","12,5",1,2014
TURATI,Magazzini,NORMALE,1200,1400,6,7,1,2014
MOSCOVA,Magazzini,NORMALE,1200,1400,6,7,1,2014
CORSO VENEZIA,Magazzini,NORMALE,1200,1400,6,7,1,2014
TURATI,Negozi,NORMALE,3700,5200,16,23,1,2014
MOSCOVA,Negozi,NORMALE,3700,5200,16,23,1,2014
CORSO VENEZIA,Negozi,NORMALE,3700,5200,16,23,1,2014
TURATI,Uffici,OTTIMO,3900,5400,"17,5","23,5",1,2014
MOSCOVA,Uffici,OTTIMO,3900,5400,"17,5","23,5",1,2014
CORSO VENEZIA,Uffici,OTTIMO,3900,5400,"17,5","23,5",1,2014
TURATI,Uffici strutturati,OTTIMO,4000,5600,20,28,1,2014
MOSCOVA,Uffici strutturati,OTTIMO,4000,5600,20,28,1,2014
CORSO VENEZIA,Uffici strutturati,OTTIMO,4000,5600,20,28,1,2014
TURATI,Laboratori,NORMALE,1800,2200,"10,2",12,1,2014
MOSCOVA,Laboratori,NORMALE,1800,2200,"10,2",12,1,2014
CORSO VENEZIA,Laboratori,NORMALE,1800,2200,"10,2",12,1,2014
VENEZIA,Abitazioni civili,OTTIMO,6500,8000,20,25,1,2014
PORTA VITTORIA,Abitazioni civili,OTTIMO,6500,8000,20,25,1,2014
PORTA ROMANA,Abitazioni civili,OTTIMO,6500,8000,20,25,1,2014
VENEZIA,Abitazioni civili,NORMALE,5000,6500,15,19,1,2014
PORTA VITTORIA,Abitazioni civili,NORMALE,5000,6500,15,19,1,2014
PORTA ROMANA,Abitazioni civili,NORMALE,5000,6500,15,19,1,2014
VENEZIA,Abitazioni di tipo economico,NORMALE,4500,5000,14,16,1,2014
PORTA VITTORIA,Abitazioni di tipo economico,NORMALE,4500,5000,14,16,1,2014
PORTA ROMANA,Abitazioni di tipo economico,NORMALE,4500,5000,14,16,1,2014
VENEZIA,Abitazioni di tipo economico,OTTIMO,5000,6000,16,20,1,2014
PORTA VITTORIA,Abitazioni di tipo economico,OTTIMO,5000,6000,16,20,1,2014
PORTA ROMANA,Abitazioni di tipo economico,OTTIMO,5000,6000,16,20,1,2014
VENEZIA,Abitazioni signorili,OTTIMO,8000,10000,25,30,1,2014
PORTA VITTORIA,Abitazioni signorili,OTTIMO,8000,10000,25,30,1,2014
PORTA ROMANA,Abitazioni signorili,OTTIMO,8000,10000,25,30,1,2014
VENEZIA,Box,NORMALE,3600,5200,12,18,1,2014
PORTA VITTORIA,Box,NORMALE,3600,5200,12,18,1,2014
PORTA ROMANA,Box,NORMALE,3600,5200,12,18,1,2014
VENEZIA,Magazzini,NORMALE,900,1300,"5,4","7,8",1,2014
PORTA VITTORIA,Magazzini,NORMALE,900,1300,"5,4","7,8",1,2014
PORTA ROMANA,Magazzini,NORMALE,900,1300,"5,4","7,8",1,2014
VENEZIA,Negozi,OTTIMO,5000,7400,28,40,1,2014
PORTA VITTORIA,Negozi,OTTIMO,5000,7400,28,40,1,2014
PORTA ROMANA,Negozi,OTTIMO,5000,7400,28,40,1,2014
VENEZIA,Negozi,NORMALE,3500,5000,16,21,1,2014
PORTA VITTORIA,Negozi,NORMALE,3500,5000,16,21,1,2014
PORTA ROMANA,Negozi,NORMALE,3500,5000,16,21,1,2014
VENEZIA,Uffici,OTTIMO,4400,6200,18,25,1,2014
PORTA VITTORIA,Uffici,OTTIMO,4400,6200,18,25,1,2014
PORTA ROMANA,Uffici,OTTIMO,4400,6200,18,25,1,2014
VENEZIA,Uffici strutturati,OTTIMO,5200,6400,"24,2","30,8",1,2014
PORTA VITTORIA,Uffici strutturati,OTTIMO,5200,6400,"24,2","30,8",1,2014
PORTA ROMANA,Uffici strutturati,OTTIMO,5200,6400,"24,2","30,8",1,2014
VENEZIA,Laboratori,NORMALE,1700,2200,"10,3","12,5",1,2014
PORTA VITTORIA,Laboratori,NORMALE,1700,2200,"10,3","12,5",1,2014
PORTA ROMANA,Laboratori,NORMALE,1700,2200,"10,3","12,5",1,2014
PORTA TICINESE,Abitazioni civili,OTTIMO,5300,7000,18,"23,8",1,2014
PORTA ROMANA,Abitazioni civili,OTTIMO,5300,7000,18,"23,8",1,2014
PORTA TICINESE,Abitazioni civili,NORMALE,4200,5100,15,18,1,2014
PORTA ROMANA,Abitazioni civili,NORMALE,4200,5100,15,18,1,2014
PORTA TICINESE,Abitazioni di tipo economico,NORMALE,3400,4200,12,14,1,2014
PORTA ROMANA,Abitazioni di tipo economico,NORMALE,3400,4200,12,14,1,2014
PORTA TICINESE,Abitazioni di tipo economico,OTTIMO,4200,5500,14,"19,5",1,2014
PORTA ROMANA,Abitazioni di tipo economico,OTTIMO,4200,5500,14,"19,5",1,2014
PORTA TICINESE,Box,NORMALE,2900,4000,13,18,1,2014
PORTA ROMANA,Box,NORMALE,2900,4000,13,18,1,2014
PORTA TICINESE,Magazzini,NORMALE,800,1000,4,5,1,2014
PORTA ROMANA,Magazzini,NORMALE,800,1000,4,5,1,2014
PORTA TICINESE,Negozi,NORMALE,2800,3800,10,"14,8",1,2014
PORTA ROMANA,Negozi,NORMALE,2800,3800,10,"14,8",1,2014
PORTA TICINESE,Uffici,OTTIMO,2500,3500,12,15,1,2014
PORTA ROMANA,Uffici,OTTIMO,2500,3500,12,15,1,2014
PORTA TICINESE,Uffici strutturati,OTTIMO,2800,3700,14,18,1,2014
PORTA ROMANA,Uffici strutturati,OTTIMO,2800,3700,14,18,1,2014
PORTA TICINESE,Laboratori,NORMALE,1300,1800,7,10,1,2014
PORTA ROMANA,Laboratori,NORMALE,1300,1800,7,10,1,2014
PORTA TICINESE,Abitazioni civili,OTTIMO,4300,6400,15,22,1,2014
PORTA GENOVA,Abitazioni civili,OTTIMO,4300,6400,15,22,1,2014
VIA SAN VITTORE,Abitazioni civili,OTTIMO,4300,6400,15,22,1,2014
PORTA TICINESE,Abitazioni civili,NORMALE,3500,4300,10,13,1,2014
PORTA GENOVA,Abitazioni civili,NORMALE,3500,4300,10,13,1,2014
VIA SAN VITTORE,Abitazioni civili,NORMALE,3500,4300,10,13,1,2014
PORTA TICINESE,Abitazioni di tipo economico,NORMALE,3000,3400,11,13,1,2014
PORTA GENOVA,Abitazioni di tipo economico,NORMALE,3000,3400,11,13,1,2014
VIA SAN VITTORE,Abitazioni di tipo economico,NORMALE,3000,3400,11,13,1,2014
PORTA TICINESE,Abitazioni di tipo economico,OTTIMO,3400,4500,"13,5",18,1,2014
PORTA GENOVA,Abitazioni di tipo economico,OTTIMO,3400,4500,"13,5",18,1,2014
VIA SAN VITTORE,Abitazioni di tipo economico,OTTIMO,3400,4500,"13,5",18,1,2014
PORTA TICINESE,Box,NORMALE,2200,3000,"10,5",15,1,2014
PORTA GENOVA,Box,NORMALE,2200,3000,"10,5",15,1,2014
VIA SAN VITTORE,Box,NORMALE,2200,3000,"10,5",15,1,2014
PORTA TICINESE,Magazzini,NORMALE,800,1000,"4,4","5,6",1,2014
PORTA GENOVA,Magazzini,NORMALE,800,1000,"4,4","5,6",1,2014
VIA SAN VITTORE,Magazzini,NORMALE,800,1000,"4,4","5,6",1,2014
PORTA TICINESE,Negozi,NORMALE,2700,3500,"12,5",18,1,2014
