Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,9100,12300,29,37,1,2019
SANBABILA,Abitazioni civili,OTTIMO,9100,12300,29,37,1,2019
MONTENAPOLEONE,Abitazioni civili,OTTIMO,9100,12300,29,37,1,2019
MISSORI,Abitazioni civili,OTTIMO,9100,12300,29,37,1,2019
CAIROLI,Abitazioni civili,OTTIMO,9100,12300,29,37,1,2019
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7400,8900,23,29,1,2019
SANBABILA,Abitazioni civili,NORMALE,7400,8900,23,29,1,2019
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8900,23,29,1,2019
MISSORI,Abitazioni civili,NORMALE,7400,8900,23,29,1,2019
CAIROLI,Abitazioni civili,NORMALE,7400,8900,23,29,1,2019
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7800,8800,24,30,1,2019
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,8800,24,30,1,2019
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,8800,24,30,1,2019
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,8800,24,30,1,2019
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,8800,24,30,1,2019
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2019
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2019
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2019
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2019
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2019
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11300,14300,"38,5",46,1,2019
SANBABILA,Abitazioni signorili,OTTIMO,11300,14300,"38,5",46,1,2019
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11300,14300,"38,5",46,1,2019
MISSORI,Abitazioni signorili,OTTIMO,11300,14300,"38,5",46,1,2019
CAIROLI,Abitazioni signorili,OTTIMO,11300,14300,"38,5",46,1,2019
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,"14,5","21,5",1,2019
SANBABILA,Box,NORMALE,4700,6600,"14,5","21,5",1,2019
MONTENAPOLEONE,Box,NORMALE,4700,6600,"14,5","21,5",1,2019
MISSORI,Box,NORMALE,4700,6600,"14,5","21,5",1,2019
CAIROLI,Box,NORMALE,4700,6600,"14,5","21,5",1,2019
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2550,3300,14,18,1,2019
SANBABILA,Magazzini,NORMALE,2550,3300,14,18,1,2019
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14,18,1,2019
MISSORI,Magazzini,NORMALE,2550,3300,14,18,1,2019
CAIROLI,Magazzini,NORMALE,2550,3300,14,18,1,2019
CENTRO STORICO -DUOMO,Negozi,OTTIMO,15200,21600,"79,2",121,1,2019
SANBABILA,Negozi,OTTIMO,15200,21600,"79,2",121,1,2019
MONTENAPOLEONE,Negozi,OTTIMO,15200,21600,"79,2",121,1,2019
MISSORI,Negozi,OTTIMO,15200,21600,"79,2",121,1,2019
CAIROLI,Negozi,OTTIMO,15200,21600,"79,2",121,1,2019
CENTRO STORICO -DUOMO,Negozi,NORMALE,8900,12400,41,56,1,2019
SANBABILA,Negozi,NORMALE,8900,12400,41,56,1,2019
MONTENAPOLEONE,Negozi,NORMALE,8900,12400,41,56,1,2019
MISSORI,Negozi,NORMALE,8900,12400,41,56,1,2019
CAIROLI,Negozi,NORMALE,8900,12400,41,56,1,2019
CENTRO STORICO -DUOMO,Uffici,OTTIMO,6500,8200,24,33,1,2019
SANBABILA,Uffici,OTTIMO,6500,8200,24,33,1,2019
