Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7500,9200,23,27,1,2022
SANBABILA,Abitazioni civili,NORMALE,7500,9200,23,27,1,2022
MONTENAPOLEONE,Abitazioni civili,NORMALE,7500,9200,23,27,1,2022
MISSORI,Abitazioni civili,NORMALE,7500,9200,23,27,1,2022
CAIROLI,Abitazioni civili,NORMALE,7500,9200,23,27,1,2022
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,9300,13200,"27,3","36,8",1,2022
SANBABILA,Abitazioni civili,OTTIMO,9300,13200,"27,3","36,8",1,2022
MONTENAPOLEONE,Abitazioni civili,OTTIMO,9300,13200,"27,3","36,8",1,2022
MISSORI,Abitazioni civili,OTTIMO,9300,13200,"27,3","36,8",1,2022
CAIROLI,Abitazioni civili,OTTIMO,9300,13200,"27,3","36,8",1,2022
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6500,7700,"17,5","22,5",1,2022
SANBABILA,Abitazioni di tipo economico,NORMALE,6500,7700,"17,5","22,5",1,2022
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6500,7700,"17,5","22,5",1,2022
MISSORI,Abitazioni di tipo economico,NORMALE,6500,7700,"17,5","22,5",1,2022
CAIROLI,Abitazioni di tipo economico,NORMALE,6500,7700,"17,5","22,5",1,2022
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7800,8800,23,27,1,2022
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,8800,23,27,1,2022
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,8800,23,27,1,2022
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,8800,23,27,1,2022
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,8800,23,27,1,2022
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11500,15700,"34,5","48,3",1,2022
SANBABILA,Abitazioni signorili,OTTIMO,11500,15700,"34,5","48,3",1,2022
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11500,15700,"34,5","48,3",1,2022
MISSORI,Abitazioni signorili,OTTIMO,11500,15700,"34,5","48,3",1,2022
CAIROLI,Abitazioni signorili,OTTIMO,11500,15700,"34,5","48,3",1,2022
CENTRO STORICO -DUOMO,Box,NORMALE,4500,6800,15,22,1,2022
SANBABILA,Box,NORMALE,4500,6800,15,22,1,2022
MONTENAPOLEONE,Box,NORMALE,4500,6800,15,22,1,2022
MISSORI,Box,NORMALE,4500,6800,15,22,1,2022
CAIROLI,Box,NORMALE,4500,6800,15,22,1,2022
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2350,3200,"11,5",16,1,2022
SANBABILA,Magazzini,NORMALE,2350,3200,"11,5",16,1,2022
MONTENAPOLEONE,Magazzini,NORMALE,2350,3200,"11,5",16,1,2022
MISSORI,Magazzini,NORMALE,2350,3200,"11,5",16,1,2022
CAIROLI,Magazzini,NORMALE,2350,3200,"11,5",16,1,2022
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14300,23600,81,140,1,2022
SANBABILA,Negozi,OTTIMO,14300,23600,81,140,1,2022
