Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,8800,11800,30,36,1,2017
SANBABILA,Abitazioni civili,OTTIMO,8800,11800,30,36,1,2017
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8800,11800,30,36,1,2017
MISSORI,Abitazioni civili,OTTIMO,8800,11800,30,36,1,2017
CAIROLI,Abitazioni civili,OTTIMO,8800,11800,30,36,1,2017
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7500,8800,24,30,1,2017
SANBABILA,Abitazioni civili,NORMALE,7500,8800,24,30,1,2017
MONTENAPOLEONE,Abitazioni civili,NORMALE,7500,8800,24,30,1,2017
MISSORI,Abitazioni civili,NORMALE,7500,8800,24,30,1,2017
CAIROLI,Abitazioni civili,NORMALE,7500,8800,24,30,1,2017
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7700,8700,24,30,1,2017
SANBABILA,Abitazioni di tipo economico,OTTIMO,7700,8700,24,30,1,2017
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7700,8700,24,30,1,2017
MISSORI,Abitazioni di tipo economico,OTTIMO,7700,8700,24,30,1,2017
CAIROLI,Abitazioni di tipo economico,OTTIMO,7700,8700,24,30,1,2017
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2017
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2017
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2017
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2017
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5",22,1,2017
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11600,13600,40,46,1,2017
SANBABILA,Abitazioni signorili,OTTIMO,11600,13600,40,46,1,2017
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11600,13600,40,46,1,2017
MISSORI,Abitazioni signorili,OTTIMO,11600,13600,40,46,1,2017
CAIROLI,Abitazioni signorili,OTTIMO,11600,13600,40,46,1,2017
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,14,20,1,2017
SANBABILA,Box,NORMALE,4700,6600,14,20,1,2017
MONTENAPOLEONE,Box,NORMALE,4700,6600,14,20,1,2017
MISSORI,Box,NORMALE,4700,6600,14,20,1,2017
CAIROLI,Box,NORMALE,4700,6600,14,20,1,2017
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2550,3300,14,18,1,2017
SANBABILA,Magazzini,NORMALE,2550,3300,14,18,1,2017
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14,18,1,2017
MISSORI,Magazzini,NORMALE,2550,3300,14,18,1,2017
CAIROLI,Magazzini,NORMALE,2550,3300,14,18,1,2017
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14800,21300,80,119,1,2017
SANBABILA,Negozi,OTTIMO,14800,21300,80,119,1,2017
MONTENAPOLEONE,Negozi,OTTIMO,14800,21300,80,119,1,2017
MISSORI,Negozi,OTTIMO,14800,21300,80,119,1,2017
CAIROLI,Negozi,OTTIMO,14800,21300,80,119,1,2017
CENTRO STORICO -DUOMO,Negozi,NORMALE,9400,12600,41,56,1,2017
SANBABILA,Negozi,NORMALE,9400,12600,41,56,1,2017
MONTENAPOLEONE,Negozi,NORMALE,9400,12600,41,56,1,2017
MISSORI,Negozi,NORMALE,9400,12600,41,56,1,2017
CAIROLI,Negozi,NORMALE,9400,12600,41,56,1,2017
CENTRO STORICO -DUOMO,Uffici,OTTIMO,6300,8300,24,"34,8",1,2017
SANBABILA,Uffici,OTTIMO,6300,8300,24,"34,8",1,2017
MONTENAPOLEONE,Uffici,OTTIMO,6300,8300,24,"34,8",1,2017
MISSORI,Uffici,OTTIMO,6300,8300,24,"34,8",1,2017
CAIROLI,Uffici,OTTIMO,6300,8300,24,"34,8",1,2017
CENTRO STORICO -DUOMO,Uffici strutturati,OTTIMO,6700,9000,29,41,1,2017
SANBABILA,Uffici strutturati,OTTIMO,6700,9000,29,41,1,2017
MONTENAPOLEONE,Uffici strutturati,OTTIMO,6700,9000,29,41,1,2017
MISSORI,Uffici strutturati,OTTIMO,6700,9000,29,41,1,2017
CAIROLI,Uffici strutturati,OTTIMO,6700,9000,29,41,1,2017
CENTRO STORICO -DUOMO,Laboratori,NORMALE,2800,3300,15,"20,5",1,2017
SANBABILA,Laboratori,NORMALE,2800,3300,15,"20,5",1,2017
MONTENAPOLEONE,Laboratori,NORMALE,2800,3300,15,"20,5",1,2017
MISSORI,Laboratori,NORMALE,2800,3300,15,"20,5",1,2017
CAIROLI,Laboratori,NORMALE,2800,3300,15,"20,5",1,2017
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7400,8800,"23,8","29,8",2,2017
SANBABILA,Abitazioni civili,NORMALE,7400,8800,"23,8","29,8",2,2017
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8800,"23,8","29,8",2,2017
MISSORI,Abitazioni civili,NORMALE,7400,8800,"23,8","29,8",2,2017
CAIROLI,Abitazioni civili,NORMALE,7400,8800,"23,8","29,8",2,2017
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,8900,11900,"30,2","36,5",2,2017
SANBABILA,Abitazioni civili,OTTIMO,8900,11900,"30,2","36,5",2,2017
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11900,"30,2","36,5",2,2017
MISSORI,Abitazioni civili,OTTIMO,8900,11900,"30,2","36,5",2,2017
CAIROLI,Abitazioni civili,OTTIMO,8900,11900,"30,2","36,5",2,2017
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",2,2017
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",2,2017
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",2,2017
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",2,2017
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",2,2017
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",2,2017
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",2,2017
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",2,2017
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",2,2017
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",2,2017
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11500,13700,"39,8",46,2,2017
SANBABILA,Abitazioni signorili,OTTIMO,11500,13700,"39,8",46,2,2017
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11500,13700,"39,8",46,2,2017
MISSORI,Abitazioni signorili,OTTIMO,11500,13700,"39,8",46,2,2017
CAIROLI,Abitazioni signorili,OTTIMO,11500,13700,"39,8",46,2,2017
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,14,20,2,2017
SANBABILA,Box,NORMALE,4700,6600,14,20,2,2017
MONTENAPOLEONE,Box,NORMALE,4700,6600,14,20,2,2017
MISSORI,Box,NORMALE,4700,6600,14,20,2,2017
CAIROLI,Box,NORMALE,4700,6600,14,20,2,2017
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2550,3300,14,18,2,2017
SANBABILA,Magazzini,NORMALE,2550,3300,14,18,2,2017
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14,18,2,2017
MISSORI,Magazzini,NORMALE,2550,3300,14,18,2,2017
CAIROLI,Magazzini,NORMALE,2550,3300,14,18,2,2017
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14900,21400,"79,8",119,2,2017
SANBABILA,Negozi,OTTIMO,14900,21400,"79,8",119,2,2017
MONTENAPOLEONE,Negozi,OTTIMO,14900,21400,"79,8",119,2,2017
MISSORI,Negozi,OTTIMO,14900,21400,"79,8",119,2,2017
