Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CADORNA,Abitazioni civili,SCADENTE,3800,4300,10,13,1,2012
MONTI,Abitazioni civili,SCADENTE,3800,4300,10,13,1,2012
BOCCACCIO ,Abitazioni civili,SCADENTE,3800,4300,10,13,1,2012
CADORNA,Abitazioni civili,OTTIMO,6000,8000,15,"20,8",1,2012
MONTI,Abitazioni civili,OTTIMO,6000,8000,15,"20,8",1,2012
BOCCACCIO ,Abitazioni civili,OTTIMO,6000,8000,15,"20,8",1,2012
CADORNA,Abitazioni civili,NORMALE,4300,6000,"13,5",15,1,2012
MONTI,Abitazioni civili,NORMALE,4300,6000,"13,5",15,1,2012
BOCCACCIO ,Abitazioni civili,NORMALE,4300,6000,"13,5",15,1,2012
CADORNA,Abitazioni di tipo economico,NORMALE,4000,5300,12,17,1,2012
MONTI,Abitazioni di tipo economico,NORMALE,4000,5300,12,17,1,2012
BOCCACCIO ,Abitazioni di tipo economico,NORMALE,4000,5300,12,17,1,2012
CADORNA,Abitazioni di tipo economico,OTTIMO,5300,6600,"15,5",21,1,2012
MONTI,Abitazioni di tipo economico,OTTIMO,5300,6600,"15,5",21,1,2012
BOCCACCIO ,Abitazioni di tipo economico,OTTIMO,5300,6600,"15,5",21,1,2012
CADORNA,Abitazioni di tipo economico,SCADENTE,3400,4000,11,"14,5",1,2012
MONTI,Abitazioni di tipo economico,SCADENTE,3400,4000,11,"14,5",1,2012
BOCCACCIO ,Abitazioni di tipo economico,SCADENTE,3400,4000,11,"14,5",1,2012
CADORNA,Box,NORMALE,2550,3600,7,10,1,2012
MONTI,Box,NORMALE,2550,3600,7,10,1,2012
BOCCACCIO ,Box,NORMALE,2550,3600,7,10,1,2012
CADORNA,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2012
MONTI,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2012
BOCCACCIO ,Ville e Villini,OTTIMO,6000,8000,"16,5",24,1,2012
CADORNA,Ville e Villini,NORMALE,4500,6000,"15,5","17,5",1,2012
