Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,8900,11900,29,35,1,2015
SANBABILA,Abitazioni civili,OTTIMO,8900,11900,29,35,1,2015
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11900,29,35,1,2015
MISSORI,Abitazioni civili,OTTIMO,8900,11900,29,35,1,2015
CAIROLI,Abitazioni civili,OTTIMO,8900,11900,29,35,1,2015
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7400,8900,"22,7",29,1,2015
SANBABILA,Abitazioni civili,NORMALE,7400,8900,"22,7",29,1,2015
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8900,"22,7",29,1,2015
MISSORI,Abitazioni civili,NORMALE,7400,8900,"22,7",29,1,2015
CAIROLI,Abitazioni civili,NORMALE,7400,8900,"22,7",29,1,2015
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7600,8900,22,30,1,2015
SANBABILA,Abitazioni di tipo economico,OTTIMO,7600,8900,22,30,1,2015
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7600,8900,22,30,1,2015
MISSORI,Abitazioni di tipo economico,OTTIMO,7600,8900,22,30,1,2015
CAIROLI,Abitazioni di tipo economico,OTTIMO,7600,8900,22,30,1,2015
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6300,7500,"17,8",21,1,2015
SANBABILA,Abitazioni di tipo economico,NORMALE,6300,7500,"17,8",21,1,2015
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6300,7500,"17,8",21,1,2015
MISSORI,Abitazioni di tipo economico,NORMALE,6300,7500,"17,8",21,1,2015
CAIROLI,Abitazioni di tipo economico,NORMALE,6300,7500,"17,8",21,1,2015
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11900,13900,39,45,1,2015
SANBABILA,Abitazioni signorili,OTTIMO,11900,13900,39,45,1,2015
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11900,13900,39,45,1,2015
MISSORI,Abitazioni signorili,OTTIMO,11900,13900,39,45,1,2015
CAIROLI,Abitazioni signorili,OTTIMO,11900,13900,39,45,1,2015
CENTRO STORICO -DUOMO,Box,NORMALE,4800,6600,14,"20,2",1,2015
SANBABILA,Box,NORMALE,4800,6600,14,"20,2",1,2015
MONTENAPOLEONE,Box,NORMALE,4800,6600,14,"20,2",1,2015
MISSORI,Box,NORMALE,4800,6600,14,"20,2",1,2015
CAIROLI,Box,NORMALE,4800,6600,14,"20,2",1,2015
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2500,3200,14,18,1,2015
SANBABILA,Magazzini,NORMALE,2500,3200,14,18,1,2015
MONTENAPOLEONE,Magazzini,NORMALE,2500,3200,14,18,1,2015
MISSORI,Magazzini,NORMALE,2500,3200,14,18,1,2015
CAIROLI,Magazzini,NORMALE,2500,3200,14,18,1,2015
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14800,21100,"81,5","120,5",1,2015
SANBABILA,Negozi,OTTIMO,14800,21100,"81,5","120,5",1,2015
