Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,9000,12000,"30,4","36,5",1,2018
SANBABILA,Abitazioni civili,OTTIMO,9000,12000,"30,4","36,5",1,2018
MONTENAPOLEONE,Abitazioni civili,OTTIMO,9000,12000,"30,4","36,5",1,2018
MISSORI,Abitazioni civili,OTTIMO,9000,12000,"30,4","36,5",1,2018
CAIROLI,Abitazioni civili,OTTIMO,9000,12000,"30,4","36,5",1,2018
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7300,8800,"23,8",30,1,2018
SANBABILA,Abitazioni civili,NORMALE,7300,8800,"23,8",30,1,2018
MONTENAPOLEONE,Abitazioni civili,NORMALE,7300,8800,"23,8",30,1,2018
MISSORI,Abitazioni civili,NORMALE,7300,8800,"23,8",30,1,2018
CAIROLI,Abitazioni civili,NORMALE,7300,8800,"23,8",30,1,2018
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",1,2018
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",1,2018
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",1,2018
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",1,2018
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,8800,"24,5","30,5",1,2018
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",1,2018
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",1,2018
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",1,2018
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",1,2018
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,"18,5","22,5",1,2018
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11500,13800,"39,8","46,2",1,2018
SANBABILA,Abitazioni signorili,OTTIMO,11500,13800,"39,8","46,2",1,2018
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11500,13800,"39,8","46,2",1,2018
MISSORI,Abitazioni signorili,OTTIMO,11500,13800,"39,8","46,2",1,2018
