Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,12700,"28,3","37,8",2,2021
MISSORI,Abitazioni civili,OTTIMO,8900,12700,"28,3","37,8",2,2021
CAIROLI,Abitazioni civili,OTTIMO,8900,12700,"28,3","37,8",2,2021
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7800,9000,23,28,2,2021
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,9000,23,28,2,2021
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,9000,23,28,2,2021
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,9000,23,28,2,2021
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,9000,23,28,2,2021
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6700,7700,"17,5","22,5",2,2021
SANBABILA,Abitazioni di tipo economico,NORMALE,6700,7700,"17,5","22,5",2,2021
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6700,7700,"17,5","22,5",2,2021
MISSORI,Abitazioni di tipo economico,NORMALE,6700,7700,"17,5","22,5",2,2021
CAIROLI,Abitazioni di tipo economico,NORMALE,6700,7700,"17,5","22,5",2,2021
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,11000,15000,"35,5","48,3",2,2021
SANBABILA,Abitazioni signorili,OTTIMO,11000,15000,"35,5","48,3",2,2021
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11000,15000,"35,5","48,3",2,2021
MISSORI,Abitazioni signorili,OTTIMO,11000,15000,"35,5","48,3",2,2021
CAIROLI,Abitazioni signorili,OTTIMO,11000,15000,"35,5","48,3",2,2021
CENTRO STORICO -DUOMO,Box,NORMALE,4700,6600,"14,5","21,5",2,2021
SANBABILA,Box,NORMALE,4700,6600,"14,5","21,5",2,2021
MONTENAPOLEONE,Box,NORMALE,4700,6600,"14,5","21,5",2,2021
MISSORI,Box,NORMALE,4700,6600,"14,5","21,5",2,2021
CAIROLI,Box,NORMALE,4700,6600,"14,5","21,5",2,2021
CENTRO STORICO -DUOMO,Magazzini,NORMALE,2350,3200,"11,5",16,2,2021
SANBABILA,Magazzini,NORMALE,2350,3200,"11,5",16,2,2021
MONTENAPOLEONE,Magazzini,NORMALE,2350,3200,"11,5",16,2,2021
MISSORI,Magazzini,NORMALE,2350,3200,"11,5",16,2,2021
CAIROLI,Magazzini,NORMALE,2350,3200,"11,5",16,2,2021
CENTRO STORICO -DUOMO,Negozi,OTTIMO,14000,21600,85,130,2,2021
SANBABILA,Negozi,OTTIMO,14000,21600,85,130,2,2021
MONTENAPOLEONE,Negozi,OTTIMO,14000,21600,85,130,2,2021
MISSORI,Negozi,OTTIMO,14000,21600,85,130,2,2021
CAIROLI,Negozi,OTTIMO,14000,21600,85,130,2,2021
CENTRO STORICO -DUOMO,Negozi,NORMALE,8000,12000,42,65,2,2021
SANBABILA,Negozi,NORMALE,8000,12000,42,65,2,2021
MONTENAPOLEONE,Negozi,NORMALE,8000,12000,42,65,2,2021
MISSORI,Negozi,NORMALE,8000,12000,42,65,2,2021
CAIROLI,Negozi,NORMALE,8000,12000,42,65,2,2021
CENTRO STORICO -DUOMO,Uffici,OTTIMO,6600,10000,24,43,2,2021
SANBABILA,Uffici,OTTIMO,6600,10000,24,43,2,2021
MONTENAPOLEONE,Uffici,OTTIMO,6600,10000,24,43,2,2021
MISSORI,Uffici,OTTIMO,6600,10000,24,43,2,2021
CAIROLI,Uffici,OTTIMO,6600,10000,24,43,2,2021
CENTRO STORICO -DUOMO,Uffici strutturati,OTTIMO,7100,12000,32,54,2,2021
SANBABILA,Uffici strutturati,OTTIMO,7100,12000,32,54,2,2021
MONTENAPOLEONE,Uffici strutturati,OTTIMO,7100,12000,32,54,2,2021
MISSORI,Uffici strutturati,OTTIMO,7100,12000,32,54,2,2021
CAIROLI,Uffici strutturati,OTTIMO,7100,12000,32,54,2,2021
CENTRO STORICO -DUOMO,Laboratori,NORMALE,2800,3300,15,"20,5",2,2021
SANBABILA,Laboratori,NORMALE,2800,3300,15,"20,5",2,2021
MONTENAPOLEONE,Laboratori,NORMALE,2800,3300,15,"20,5",2,2021
MISSORI,Laboratori,NORMALE,2800,3300,15,"20,5",2,2021
CAIROLI,Laboratori,NORMALE,2800,3300,15,"20,5",2,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6900,8400,20,28,1,2021
SAN LORENZO,Abitazioni civili,OTTIMO,6900,8400,20,28,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,NORMALE,5200,6900,"15,5",20,1,2021
SAN LORENZO,Abitazioni civili,NORMALE,5200,6900,"15,5",20,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,5000,"12,5",16,1,2021
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,5000,"12,5",16,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5100,6400,"16,1","20,2",1,2021
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5100,6400,"16,1","20,2",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,7700,9500,"22,7",29,1,2021
SAN LORENZO,Abitazioni signorili,OTTIMO,7700,9500,"22,7",29,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Box,NORMALE,3200,4400,"10,5","15,5",1,2021
SAN LORENZO,Box,NORMALE,3200,4400,"10,5","15,5",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Magazzini,NORMALE,1600,2300,9,13,1,2021
SAN LORENZO,Magazzini,NORMALE,1600,2300,9,13,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Negozi,OTTIMO,5400,7500,29,"40,8",1,2021
SAN LORENZO,Negozi,OTTIMO,5400,7500,29,"40,8",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Negozi,NORMALE,4000,5400,21,28,1,2021
SAN LORENZO,Negozi,NORMALE,4000,5400,21,28,1,2021
CENTRO STORICO -UNIVERSITA STATALE,Uffici,OTTIMO,4000,6000,"17,5","25,8",1,2021
SAN LORENZO,Uffici,OTTIMO,4000,6000,"17,5","25,8",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4400,6400,"20,6","28,4",1,2021
SAN LORENZO,Uffici strutturati,OTTIMO,4400,6400,"20,6","28,4",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Laboratori,NORMALE,2200,2600,"11,7","14,7",1,2021
SAN LORENZO,Laboratori,NORMALE,2200,2600,"11,7","14,7",1,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,OTTIMO,6800,8400,20,28,2,2021
SAN LORENZO,Abitazioni civili,OTTIMO,6800,8400,20,28,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni civili,NORMALE,5400,6700,16,20,2,2021
SAN LORENZO,Abitazioni civili,NORMALE,5400,6700,16,20,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,OTTIMO,5100,6400,"16,1","20,2",2,2021
SAN LORENZO,Abitazioni di tipo economico,OTTIMO,5100,6400,"16,1","20,2",2,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni di tipo economico,NORMALE,4100,5000,"12,5",16,2,2021
SAN LORENZO,Abitazioni di tipo economico,NORMALE,4100,5000,"12,5",16,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Abitazioni signorili,OTTIMO,7700,9500,"22,7",29,2,2021
SAN LORENZO,Abitazioni signorili,OTTIMO,7700,9500,"22,7",29,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Box,NORMALE,3200,4400,"10,5","15,5",2,2021
SAN LORENZO,Box,NORMALE,3200,4400,"10,5","15,5",2,2021
CENTRO STORICO -UNIVERSITA STATALE,Magazzini,NORMALE,1500,2200,9,13,2,2021
SAN LORENZO,Magazzini,NORMALE,1500,2200,9,13,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Negozi,OTTIMO,5400,7500,30,41,2,2021
SAN LORENZO,Negozi,OTTIMO,5400,7500,30,41,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Negozi,NORMALE,4200,5300,21,30,2,2021
SAN LORENZO,Negozi,NORMALE,4200,5300,21,30,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Uffici,OTTIMO,4000,6000,"17,5","25,8",2,2021
SAN LORENZO,Uffici,OTTIMO,4000,6000,"17,5","25,8",2,2021
CENTRO STORICO -UNIVERSITA STATALE,Uffici strutturati,OTTIMO,4400,6400,"20,6",30,2,2021
SAN LORENZO,Uffici strutturati,OTTIMO,4400,6400,"20,6",30,2,2021
CENTRO STORICO -UNIVERSITA STATALE,Laboratori,NORMALE,2100,2500,"11,7","14,7",2,2021
SAN LORENZO,Laboratori,NORMALE,2100,2500,"11,7","14,7",2,2021
CENTRO STORICO - BRERA,Abitazioni civili,OTTIMO,7900,10500,21,"30,5",1,2021
CENTRO STORICO - BRERA,Abitazioni civili,NORMALE,6500,7900,18,21,1,2021
CENTRO STORICO - BRERA,Abitazioni di tipo economico,OTTIMO,6700,7800,"18,6",22,1,2021
CENTRO STORICO - BRERA,Abitazioni di tipo economico,NORMALE,6000,6500,16,"18,5",1,2021
CENTRO STORICO - BRERA,Abitazioni signorili,OTTIMO,10000,12500,29,40,1,2021
CENTRO STORICO - BRERA,Box,NORMALE,3500,5200,"11,5","15,5",1,2021
CENTRO STORICO - BRERA,Magazzini,NORMALE,1400,2000,7,"10,5",1,2021
CENTRO STORICO - BRERA,Negozi,OTTIMO,6400,8500,30,"43,7",1,2021
CENTRO STORICO - BRERA,Negozi,NORMALE,4500,6300,20,"28,4",1,2021
CENTRO STORICO - BRERA,Uffici,OTTIMO,4100,6000,20,25,1,2021
CENTRO STORICO - BRERA,Uffici strutturati,OTTIMO,4600,6400,"21,6",30,1,2021
CENTRO STORICO - BRERA,Laboratori,NORMALE,2500,3100,11,14,1,2021
CENTRO STORICO - BRERA,Abitazioni civili,OTTIMO,9000,12000,"22,5",33,2,2021
CENTRO STORICO - BRERA,Abitazioni civili,NORMALE,7500,8900,18,"22,4",2,2021
CENTRO STORICO - BRERA,Abitazioni di tipo economico,NORMALE,6500,7100,16,"18,5",2,2021
CENTRO STORICO - BRERA,Abitazioni di tipo economico,OTTIMO,7200,8500,"18,6",22,2,2021
CENTRO STORICO - BRERA,Abitazioni signorili,OTTIMO,11500,14400,29,40,2,2021
CENTRO STORICO - BRERA,Box,NORMALE,3500,5200,"11,3","16,5",2,2021
CENTRO STORICO - BRERA,Magazzini,NORMALE,1300,2000,"6,8","10,5",2,2021
CENTRO STORICO - BRERA,Negozi,OTTIMO,6700,8800,30,"43,7",2,2021
CENTRO STORICO - BRERA,Negozi,NORMALE,4500,6600,20,"28,4",2,2021
CENTRO STORICO - BRERA,Uffici,OTTIMO,4100,6000,19,"28,5",2,2021
CENTRO STORICO - BRERA,Uffici strutturati,OTTIMO,4700,6700,"21,6",32,2,2021
CENTRO STORICO - BRERA,Laboratori,NORMALE,2400,3000,11,14,2,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,OTTIMO,7600,9700,"21,3",27,1,2021
CADORNA,Abitazioni civili,OTTIMO,7600,9700,"21,3",27,1,2021
VIA DANTE,Abitazioni civili,OTTIMO,7600,9700,"21,3",27,1,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,NORMALE,6100,7600,"17,5","21,2",1,2021
CADORNA,Abitazioni civili,NORMALE,6100,7600,"17,5","21,2",1,2021
VIA DANTE,Abitazioni civili,NORMALE,6100,7600,"17,5","21,2",1,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5700,6100,15,"18,2",1,2021
CADORNA,Abitazioni di tipo economico,NORMALE,5700,6100,15,"18,2",1,2021
VIA DANTE,Abitazioni di tipo economico,NORMALE,5700,6100,15,"18,2",1,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6100,7700,"18,3","21,3",1,2021
CADORNA,Abitazioni di tipo economico,OTTIMO,6100,7700,"18,3","21,3",1,2021
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6100,7700,"18,3","21,3",1,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni signorili,OTTIMO,8600,11200,25,34,1,2021
CADORNA,Abitazioni signorili,OTTIMO,8600,11200,25,34,1,2021
VIA DANTE,Abitazioni signorili,OTTIMO,8600,11200,25,34,1,2021
CENTRO STORICO -SANT`AMBROGIO,Box,NORMALE,3700,5200,"12,5",17,1,2021
CADORNA,Box,NORMALE,3700,5200,"12,5",17,1,2021
VIA DANTE,Box,NORMALE,3700,5200,"12,5",17,1,2021
CENTRO STORICO -SANT`AMBROGIO,Magazzini,NORMALE,1400,2000,"8,5","12,5",1,2021
CADORNA,Magazzini,NORMALE,1400,2000,"8,5","12,5",1,2021
VIA DANTE,Magazzini,NORMALE,1400,2000,"8,5","12,5",1,2021
CENTRO STORICO -SANT`AMBROGIO,Negozi,OTTIMO,5500,8000,"27,5","41,7",1,2021
CADORNA,Negozi,OTTIMO,5500,8000,"27,5","41,7",1,2021
VIA DANTE,Negozi,OTTIMO,5500,8000,"27,5","41,7",1,2021
CENTRO STORICO -SANT`AMBROGIO,Negozi,NORMALE,4000,5500,"18,4","26,8",1,2021
CADORNA,Negozi,NORMALE,4000,5500,"18,4","26,8",1,2021
VIA DANTE,Negozi,NORMALE,4000,5500,"18,4","26,8",1,2021
CENTRO STORICO -SANT`AMBROGIO,Uffici,OTTIMO,4100,6000,17,"24,8",1,2021
CADORNA,Uffici,OTTIMO,4100,6000,17,"24,8",1,2021
VIA DANTE,Uffici,OTTIMO,4100,6000,17,"24,8",1,2021
CENTRO STORICO -SANT`AMBROGIO,Uffici strutturati,OTTIMO,4600,6400,"20,4",26,1,2021
CADORNA,Uffici strutturati,OTTIMO,4600,6400,"20,4",26,1,2021
VIA DANTE,Uffici strutturati,OTTIMO,4600,6400,"20,4",26,1,2021
CENTRO STORICO -SANT`AMBROGIO,Laboratori,NORMALE,2400,3000,12,15,1,2021
CADORNA,Laboratori,NORMALE,2400,3000,12,15,1,2021
VIA DANTE,Laboratori,NORMALE,2400,3000,12,15,1,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,OTTIMO,7800,9700,22,"28,3",2,2021
CADORNA,Abitazioni civili,OTTIMO,7800,9700,22,"28,3",2,2021
VIA DANTE,Abitazioni civili,OTTIMO,7800,9700,22,"28,3",2,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni civili,NORMALE,6400,7800,"17,5","21,5",2,2021
CADORNA,Abitazioni civili,NORMALE,6400,7800,"17,5","21,5",2,2021
VIA DANTE,Abitazioni civili,NORMALE,6400,7800,"17,5","21,5",2,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,OTTIMO,6300,7700,18,22,2,2021
CADORNA,Abitazioni di tipo economico,OTTIMO,6300,7700,18,22,2,2021
VIA DANTE,Abitazioni di tipo economico,OTTIMO,6300,7700,18,22,2,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni di tipo economico,NORMALE,5800,6200,15,18,2,2021
CADORNA,Abitazioni di tipo economico,NORMALE,5800,6200,15,18,2,2021
VIA DANTE,Abitazioni di tipo economico,NORMALE,5800,6200,15,18,2,2021
CENTRO STORICO -SANT`AMBROGIO,Abitazioni signorili,OTTIMO,8500,11200,25,34,2,2021
