Quotazioni Immobiliari : Valori di Mercato - Semestre 2013/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;9;Magazzini;NORMALE;P;1200;1450;L;7,2;8,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;5;Negozi;NORMALE;P;3800;5200;L;16;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;6;Uffici;OTTIMO;P;3900;5400;L;17,2;23,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;18;Uffici strutturati;OTTIMO;P;4000;5800;L;20;30;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;10;Laboratori;NORMALE;P;1800;2200;L;10,2;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;20;Abitazioni civili;SCADENTE; ;4800;5800;L;13;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;20;Abitazioni civili;OTTIMO; ;7500;10100;L;20,2;29,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;20;Abitazioni civili;NORMALE;P;5800;7400;L;17;19;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;21;Abitazioni di tipo economico;OTTIMO; ;5400;7400;L;20;22;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;21;Abitazioni di tipo economico;NORMALE;P;4300;5400;L;16;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;21;Abitazioni di tipo economico;SCADENTE; ;4000;4300;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;13;Box;NORMALE;P;3600;5200;L;12;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;9;Magazzini;NORMALE;P;900;1300;L;5,4;7,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;5;Negozi;OTTIMO;P;5800;8400;L;28;40;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;5;Negozi;NORMALE; ;3400;4400;L;16;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;6;Uffici;OTTIMO;P;4300;6200;L;17,8;24,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;18;Uffici strutturati;OTTIMO;P;5200;6600;L;24,5;31;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;10;Laboratori;NORMALE;P;1700;2100;L;10,3;12,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;20;Abitazioni civili;SCADENTE; ;3400;4200;L;12;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;20;Abitazioni civili;OTTIMO; ;5400;7000;L;18;24;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;20;Abitazioni civili;NORMALE;P;4200;5100;L;15;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;21;Abitazioni di tipo economico;OTTIMO; ;4400;5500;L;14;20;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;21;Abitazioni di tipo economico;NORMALE;P;3400;4400;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;21;Abitazioni di tipo economico;SCADENTE; ;3000;3400;L;11;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;13;Box;NORMALE;P;2900;4000;L;13;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;9;Magazzini;NORMALE;P;900;1100;L;5,8;6,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;5;Negozi;NORMALE;P;2900;5200;L;17,2;24,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;6;Uffici;OTTIMO;P;3600;5100;L;16,2;21,7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;18;Uffici strutturati;OTTIMO;P;4100;5800;L;21,5;28;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B05;MI00000294;10;Laboratori;NORMALE;P;1400;1750;L;8,6;10,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B06;MI00000295;20;Abitazioni civili;SCADENTE; ;2700;3500;L;10;13;L;
