Neighborhood,Type,Status,Min_Sale_Price,Max_Sale_Price,Min_Rent_Price,Max_Rent_Price,Semester,Year,Avg_Sale_Price,Avg_Rent_Price
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
MISSORI,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
CAIROLI,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
DUOMO,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
SANBABILA,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
MISSORI,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
CAIROLI,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
DUOMO,Abitazioni di tipo economico,OTTIMO,7800,8800,24.5,30.5,2,2017,8300.0,27.5
SANBABILA,Abitazioni di tipo economico,OTTIMO,7800,8800,24.5,30.5,2,2017,8300.0,27.5
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7800,8800,24.5,30.5,2,2017,8300.0,27.5
MISSORI,Abitazioni di tipo economico,OTTIMO,7800,8800,24.5,30.5,2,2017,8300.0,27.5
CAIROLI,Abitazioni di tipo economico,OTTIMO,7800,8800,24.5,30.5,2,2017,8300.0,27.5
DUOMO,Abitazioni signorili,OTTIMO,11500,13700,39.8,46.0,2,2017,12600.0,42.9
SANBABILA,Abitazioni signorili,OTTIMO,11500,13700,39.8,46.0,2,2017,12600.0,42.9
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11500,13700,39.8,46.0,2,2017,12600.0,42.9
MISSORI,Abitazioni signorili,OTTIMO,11500,13700,39.8,46.0,2,2017,12600.0,42.9
CAIROLI,Abitazioni signorili,OTTIMO,11500,13700,39.8,46.0,2,2017,12600.0,42.9
DUOMO,Box,NORMALE,4700,6600,14.0,20.0,2,2017,5650.0,17.0
SANBABILA,Box,NORMALE,4700,6600,14.0,20.0,2,2017,5650.0,17.0
MONTENAPOLEONE,Box,NORMALE,4700,6600,14.0,20.0,2,2017,5650.0,17.0
MISSORI,Box,NORMALE,4700,6600,14.0,20.0,2,2017,5650.0,17.0
CAIROLI,Box,NORMALE,4700,6600,14.0,20.0,2,2017,5650.0,17.0
DUOMO,Magazzini,NORMALE,2550,3300,14.0,18.0,2,2017,2925.0,16.0
SANBABILA,Magazzini,NORMALE,2550,3300,14.0,18.0,2,2017,2925.0,16.0
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14.0,18.0,2,2017,2925.0,16.0
MISSORI,Magazzini,NORMALE,2550,3300,14.0,18.0,2,2017,2925.0,16.0
CAIROLI,Magazzini,NORMALE,2550,3300,14.0,18.0,2,2017,2925.0,16.0
DUOMO,Negozi,OTTIMO,14900,21400,79.8,119.0,2,2017,18150.0,99.4
SANBABILA,Negozi,OTTIMO,14900,21400,79.8,119.0,2,2017,18150.0,99.4
MONTENAPOLEONE,Negozi,OTTIMO,14900,21400,79.8,119.0,2,2017,18150.0,99.4
MISSORI,Negozi,OTTIMO,14900,21400,79.8,119.0,2,2017,18150.0,99.4
CAIROLI,Negozi,OTTIMO,14900,21400,79.8,119.0,2,2017,18150.0,99.4
DUOMO,Negozi,NORMALE,9300,12600,41.5,56.5,2,2017,10950.0,49.0
SANBABILA,Negozi,NORMALE,9300,12600,41.5,56.5,2,2017,10950.0,49.0
MONTENAPOLEONE,Negozi,NORMALE,9300,12600,41.5,56.5,2,2017,10950.0,49.0
MISSORI,Negozi,NORMALE,9300,12600,41.5,56.5,2,2017,10950.0,49.0
CAIROLI,Negozi,NORMALE,9300,12600,41.5,56.5,2,2017,10950.0,49.0
DUOMO,Uffici,OTTIMO,6400,8300,23.8,34.5,2,2017,7350.0,29.15
SANBABILA,Uffici,OTTIMO,6400,8300,23.8,34.5,2,2017,7350.0,29.15
MONTENAPOLEONE,Uffici,OTTIMO,6400,8300,23.8,34.5,2,2017,7350.0,29.15
MISSORI,Uffici,OTTIMO,6400,8300,23.8,34.5,2,2017,7350.0,29.15
