id,name,neighborhood_cleansed,latitude,longitude,host_listings_count,property_type,room_type,accommodates,bedrooms,price,availability_365,review_scores_rating
32249293,Nice apartment close to train and bus station! ;),LORETO,45.49188,9.21203,2,Entire rental unit,Entire home/apt,3,1.0,$91.00,0,5.0
31811980,Affascinante appartamento in casa d’epoca,VIA SAN VITTORE,45.46665,9.16622,1,Entire rental unit,Entire home/apt,4,2.0,$450.00,173,0.0
32249766,A double room in University Area,CITY LIFE,45.47313,9.22962,1,Private room in condo,Private room,2,1.0,$75.00,343,4.5
32100010,Double bedroom with bathroom by Metro line 1,VIALE CORSICA,45.50918,9.22522,1,Private room in rental unit,Private room,2,1.0,$90.00,138,5.0
31813246,Single Room with Amazing Terrace,SARPI,45.48567,9.16998,11,Private room in rental unit,Private room,1,1.0,$28.00,295,5.0
32253850,Cosy Nest in the heart of Brera,BRERA,45.47108,9.18498,1,Entire rental unit,Entire home/apt,4,1.0,$220.00,0,4.97
32260902,Home Hotel - Mamiani 2,PADOVA,45.49754,9.23126,10,Entire rental unit,Entire home/apt,4,1.0,$81.00,181,4.45
31816261,250 sq m. in Milan center with terrace duomo view,DUOMO,45.46027,9.18354,2,Entire rental unit,Entire home/apt,6,5.0,$500.00,353,5.0
32274894,Ampia e luminosa stanza con bagno PRIVATO-Bocconi,PORTA TICINESE,45.4458,9.18606,1,Private room in condo,Private room,2,1.0,$62.00,61,4.93
32275715,NoLo easy flat,LORETO,45.49179,9.21969,1,Entire rental unit,Entire home/apt,3,1.0,$200.00,0,5.0
31816586,"MILANO DUOMO CUTE HOME,2 BDR, amazing location",DUOMO,45.46595,9.19165,31,Entire rental unit,Entire home/apt,4,2.0,$245.00,0,4.71
32281516,Modern 4 people Loft near Navigli- 10-Minute Walk,SAN CRISTOFORO,45.44077,9.15696,1,Entire townhouse,Entire home/apt,4,1.0,$65.00,64,4.88
32282100,"Fashion Loft Navigli Tortona, Metro Stop",SAN CRISTOFORO,45.44719,9.15661,58,Entire rental unit,Entire home/apt,5,3.0,$116.00,95,5.0
32100640,New Design Apartment Near City Center,MOLISE,45.45041,9.21973,2,Entire condo,Entire home/apt,2,1.0,$106.00,348,5.0
32101981,Accogliente monolocale zona via Savona,GIAMBELLINO,45.45307,9.14803,1,Entire rental unit,Entire home/apt,2,,$75.00,0,4.82
31816765,Affitto loft/studio zona navigli,PORTA TICINESE,45.45148,9.17805,1,Tiny home,Entire home/apt,1,1.0,$250.00,90,
32103492,Elegant room Milan city centre landmark building B,DUOMO,45.45795,9.19146,4,Private room in condo,Private room,2,1.0,$130.00,51,4.92
32104198,BRERA MILAN SUITE,BRERA,45.47755,9.18948,12,Entire rental unit,Entire home/apt,3,1.0,$150.00,151,
32282347,"Design Apartment Lambrate, Metro Stop",LORETO,45.48623,9.23263,58,Entire condo,Entire home/apt,3,1.0,$85.00,116,4.9
32285467,Isola Double Room,PIOLA,45.492,9.18962,1,Private room in rental unit,Private room,2,1.0,$190.00,177,
31823468,Moscova - Brera Luxourious and sunny apartment,SARPI,45.47663,9.17696,1,Private room in rental unit,Private room,2,1.0,$65.00,0,3.5
32285478,Cosy apt between Salone and city center,CASTELLO,45.48387,9.15524,1,Entire rental unit,Entire home/apt,2,2.0,$200.00,0,
32295473,Cozy room near the center of Milan,BUENOS AIRES,45.47002,9.21624,1,Private room in condo,Private room,2,1.0,$109.00,348,4.88
32104603,Lovely & Friendly in Central Milan - D,SARPI,45.48199,9.16815,20,Entire rental unit,Entire home/apt,2,1.0,$70.00,110,4.42
